,scores,names,logfoldchanges,pvals,pvals_adj
23,-10.39689826965332,CRABP2,-2.0545008182525635,2.5613522639766594e-25,2.179817499655136e-22
24,-10.36123275756836,MT2A,-1.813612937927246,3.721336157673846e-25,3.0403316408195325e-22
25,10.334436416625977,MCAM,3.098776340484619,4.922950274455114e-25,3.8673561290671424e-22
26,-10.311792373657227,FAM127A,-1.6624705791473389,6.232797040877405e-25,4.714995539256333e-22
27,10.162714958190918,C9orf135,6.0093584060668945,2.9086141153515314e-24,2.121730118073394e-21
28,10.077043533325195,NPB,2.6663029193878174,6.979493342843301e-24,4.9157293630198076e-21
29,10.011940002441406,THY1,4.2221527099609375,1.3507762988233776e-23,9.19653530115583e-21
30,-9.996465682983398,IRAK1,-1.4885610342025757,1.5793288436654555e-23,1.0405739236086106e-20
31,9.889281272888184,MYL12B,1.2135628461837769,4.6334161272323993e-23,2.957422637460055e-20
32,-9.77492618560791,NDUFA1,-1.1022812128067017,1.4426252045270888e-22,8.928975697716905e-20
33,-9.762848854064941,COX7B,-1.0554049015045166,1.6252412452865797e-22,9.680605722256112e-20
34,-9.760773658752441,BRI3,-1.072749376296997,1.6588553257232016e-22,9.680605722256112e-20
35,-9.753979682922363,FAM3C,-1.3537981510162354,1.7737496205877073e-22,1.0063565555695534e-19
36,-9.724541664123535,NPAS2,-2.915361166000366,2.3696970346637173e-22,1.290349783256244e-19
37,9.723220825195312,TMEM41B,1.2889734506607056,2.4006507595465003e-22,1.290349783256244e-19
38,-9.687178611755371,RPL10,-0.9786463975906372,3.4184254510027133e-22,1.7902907650443697e-19
39,-9.656042098999023,ARL4C,-1.5307484865188599,4.634241797257415e-22,2.3663597177245673e-19
40,-9.6343412399292,FTH1,-1.015665888786316,5.725831382530985e-22,2.8524416094681793e-19
41,-9.578672409057617,SSR4,-1.1045944690704346,9.829995644144805e-22,4.780420500753754e-19
42,-9.483187675476074,PLP2,-0.9914517402648926,2.4663061198810707e-21,1.1714954069435086e-18
43,-9.426387786865234,TCEAL1,-2.3751821517944336,4.244550569602885e-21,1.9703396678213393e-18
44,-9.42204761505127,MCTS1,-1.3365678787231445,4.423759100638829e-21,2.0078951029010684e-18
45,-9.349206924438477,SFRP1,-4.1320576667785645,8.83070212573772e-21,3.92102371561289e-18
46,-9.308258056640625,ARPC1A,-0.9983333945274353,1.2994562262677198e-20,5.64710498330174e-18
47,-9.202205657958984,NAA10,-1.0085078477859497,3.5067512343296995e-20,1.492195707524669e-17
48,-9.165596961975098,F2RL1,-1.8762569427490234,4.927335908877203e-20,2.0538946109962625e-17
49,-9.162388801574707,LAGE3,-0.9429207444190979,5.076076482164959e-20,2.0735772429643858e-17
50,9.14974594116211,SGK1,3.0291247367858887,5.706756034304223e-20,2.2854998431502698e-17
51,-9.108797073364258,GPRC5A,-1.8813472986221313,8.330047773084057e-20,3.271946649331574e-17
52,9.105777740478516,COL9A3,2.940967559814453,8.565055699067726e-20,3.3007785406312883e-17
