"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"PPIF","OK","negbinomial.size",6.47838293442888e-15,1.66232376175515e-13,"PPIF","ENSG00000108179","False",2034,1.1428152,0.7621205,40.3519061583578,3897,8.268219,2034,"PPIF",FALSE
"ZCCHC24","OK","negbinomial.size",0.868273111856946,0.968867097936325,"ZCCHC24","ENSG00000165424","False",204,0.06363636,0.061693568,94.0175953079179,217,5.3844953,204,"ZCCHC24",FALSE
"EIF5AL1","OK","negbinomial.size",0.190947006908332,0.419409895268596,"EIF5AL1","ENSG00000253626","False",1019,0.4255132,0.35453188,70.1173020527859,1451,7.2806973,1019,"EIF5AL1",TRUE
"RP11-506M13.3","OK","negbinomial.size",0.408816393371314,0.665875186172974,"RP11-506M13.3","ENSG00000244733","False",82,0.02404692,0.023762345,97.5953079178886,82,4.4188404,82,"RP11-506M13.3",FALSE
"NUTM2B-AS1","OK","negbinomial.size",0.177016511555653,0.398936582646387,"NUTM2B-AS1","ENSG00000225484","False",2208,1.2994134,0.83265406,35.2492668621701,4431,8.396606,2208,"NUTM2B-AS1",FALSE
"RP11-182L21.6","OK","negbinomial.size",0.223923645845964,0.464517617956919,"RP11-182L21.6","ENSG00000272447","False",159,0.04956012,0.04837114,95.3372434017595,169,5.1357985,159,"RP11-182L21.6",FALSE
"SFTPD","OK","negbinomial.size",0.698002604019615,0.875084378442907,"SFTPD","ENSG00000133661","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"SFTPD",FALSE
"SFTPD-AS1","OK","negbinomial.size",0.341387772306351,0.601470305301235,"SFTPD-AS1","ENSG00000273372","False",65,0.019061584,0.018882189,98.0938416422287,65,4.189655,65,"SFTPD-AS1",FALSE
"TMEM254-AS1","OK","negbinomial.size",0.138312491881421,0.336433565163515,"TMEM254-AS1","ENSG00000230091","False",49,0.014956011,0.014845273,98.5630498533724,51,3.9512436,49,"TMEM254-AS1",FALSE
"TMEM254","OK","negbinomial.size",0.227980718636588,0.469284132057859,"TMEM254","ENSG00000133678","False",1337,0.6217009,0.48347554,60.791788856305,2120,7.659643,1337,"TMEM254",FALSE
"PLAC9","OK","negbinomial.size",0.523509496235227,0.757916179515489,"PLAC9","ENSG00000189129","False",33,0.01085044,0.0107919965,99.0322580645161,37,3.637586,33,"PLAC9",FALSE
"ANXA11","OK","negbinomial.size",5.06978144794131e-07,5.54931865349417e-06,"ANXA11","ENSG00000122359","False",3063,3.4478006,1.4924097,10.1759530791789,11757,9.372289,3063,"ANXA11",TRUE
"LINC00857","OK","negbinomial.size",0.00746963951833788,0.0350005476398374,"LINC00857","ENSG00000237523","False",365,0.11583578,0.1096037,89.2961876832845,395,5.9814143,365,"LINC00857",FALSE
"MAT1A","OK","negbinomial.size",0.0641717610911601,0.194859409043382,"MAT1A","ENSG00000151224","False",22,0.0076246336,0.007595713,99.3548387096774,26,3.295837,22,"MAT1A",FALSE
"DYDC2","OK","negbinomial.size",0.0500321752760771,0.161822197943607,"DYDC2","ENSG00000133665","False",5,0.0014662757,0.0014652017,99.8533724340176,5,1.7917595,5,"DYDC2",FALSE
"FAM213A","OK","negbinomial.size",0.219611529182621,0.458693678653751,"FAM213A","ENSG00000122378","False",2867,3.7774193,1.5639005,15.9237536656891,12881,9.463586,2867,"FAM213A",TRUE
"TSPAN14","OK","negbinomial.size",0.0761043361113258,0.2203616480116,"TSPAN14","ENSG00000108219","False",1331,0.56950146,0.45075804,60.9677419354839,1942,7.5719886,1331,"TSPAN14",FALSE
"RP11-137H2.4","OK","negbinomial.size",0.455348865056864,0.70424732519015,"RP11-137H2.4","ENSG00000226659","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP11-137H2.4",FALSE
"RP11-338I21.1","OK","negbinomial.size",0.0158891282115041,0.0650111065144171,"RP11-338I21.1","ENSG00000271933","False",159,0.50293255,0.40741822,95.3372434017595,1715,7.447751,159,"RP11-338I21.1",FALSE
"GHITM","OK","negbinomial.size",0.0230281600150508,0.0881135571950941,"GHITM","ENSG00000165678","False",3106,4.442522,1.6942426,8.9149560117302,15149,9.625756,3106,"GHITM",FALSE
"LINC00858","OK","negbinomial.size",0.0173325730646901,0.0696391893865304,"LINC00858","ENSG00000229404","False",24,0.0073313783,0.0073046344,99.2961876832845,25,3.2580965,24,"LINC00858",FALSE
"CCSER2","OK","negbinomial.size",4.51188114406909e-05,0.000362958536304101,"CCSER2","ENSG00000107771","False",1820,0.98475075,0.68549335,46.6275659824047,3358,8.119398,1820,"CCSER2",FALSE
"GRID1","OK","negbinomial.size",0.944412927591864,0.999999999652452,"GRID1","ENSG00000182771","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"GRID1",FALSE
"RP11-93H12.4","OK","negbinomial.size",0.579102742947144,0.797026928783662,"RP11-93H12.4","ENSG00000270002","False",5,0.0017595307,0.0017579846,99.8533724340176,6,1.9459101,5,"RP11-93H12.4",FALSE
"WAPL","OK","negbinomial.size",4.18841436142621e-11,7.49766549799565e-10,"WAPL","ENSG00000062650","False",2262,1.4419355,0.892791,33.6656891495601,4917,8.500657,2262,"WAPL",TRUE
"RP11-77P6.2","OK","negbinomial.size",0.429108709530569,0.682580376773196,"RP11-77P6.2","ENSG00000227896","False",148,0.047214076,0.046133377,95.6598240469208,161,5.0875964,148,"RP11-77P6.2",FALSE
"RP11-359E3.4","OK","negbinomial.size",0.04163434902369,0.140303840753814,"RP11-359E3.4","ENSG00000272631","False",70,0.02111437,0.02089455,97.9472140762463,72,4.2904596,70,"RP11-359E3.4",FALSE
"BMPR1A","OK","negbinomial.size",0.934843605115027,0.998022368607547,"BMPR1A","ENSG00000107779","False",695,0.25043988,0.2234954,79.6187683284457,854,6.7511015,695,"BMPR1A",FALSE
"MMRN2","OK","negbinomial.size",0.802657570436932,0.932652696575187,"MMRN2","ENSG00000173269","False",19,0.0058651026,0.00584797,99.4428152492669,20,3.0445225,19,"MMRN2",FALSE
"SNCG","OK","negbinomial.size",1.16216533214362e-30,7.0228481979389e-29,"SNCG","ENSG00000173267","False",1250,0.75337243,0.561541,63.3431085043988,2569,7.851661,1250,"SNCG",TRUE
"ADIRF","OK","negbinomial.size",1.1902125439911e-177,9.35003508116089e-175,"ADIRF","ENSG00000148671","False",2843,5.735777,1.9074332,16.6275659824047,19559,9.881242,2843,"ADIRF",TRUE
"RP11-96C23.15","OK","negbinomial.size",0.908895788973245,0.98756231991587,"RP11-96C23.15","ENSG00000273413","False",19,0.0058651026,0.00584797,99.4428152492669,20,3.0445225,19,"RP11-96C23.15",FALSE
"FAM25A","OK","negbinomial.size",0.0132976930936463,0.0564081789071081,"FAM25A","ENSG00000188100","False",54,0.017008798,0.016865768,98.41642228739,58,4.0775375,54,"FAM25A",FALSE
"GLUD1","OK","negbinomial.size",0.00634914424970336,0.0305419857042372,"GLUD1","ENSG00000148672","False",2132,1.1483871,0.76471734,37.4780058651026,3916,8.273082,2132,"GLUD1",FALSE
"FAM35A","OK","negbinomial.size",0.562525612214503,0.785599982980927,"FAM35A","ENSG00000122376","False",1283,0.54222876,0.4332286,62.375366568915,1849,7.522941,1283,"FAM35A",FALSE
"NUTM2A-AS1","OK","negbinomial.size",0.648617331455647,0.846409979234705,"NUTM2A-AS1","ENSG00000223482","False",2025,1.4079179,0.8787624,40.6158357771261,4801,8.476788,2025,"NUTM2A-AS1",FALSE
"LINC00863","OK","negbinomial.size",0.672501793715051,0.861312613797281,"LINC00863","ENSG00000224914","False",77,0.022580646,0.022329478,97.741935483871,77,4.356709,77,"LINC00863",FALSE
"MINPP1","OK","negbinomial.size",0.165558967005047,0.381534683637378,"MINPP1","ENSG00000107789","False",501,0.16950147,0.15657756,85.307917888563,578,6.3613024,501,"MINPP1",FALSE
"PAPSS2","OK","negbinomial.size",0.966476444656402,0.999999999652452,"PAPSS2","ENSG00000198682","False",477,0.17741935,0.16332506,86.0117302052786,605,6.40688,477,"PAPSS2",FALSE
"ATAD1","OK","negbinomial.size",0.0183896391728339,0.0730755603317378,"ATAD1","ENSG00000138138","False",1315,0.542522,0.43341875,61.4369501466276,1850,7.5234814,1315,"ATAD1",FALSE
"KLLN","OK","negbinomial.size",0.538212333294922,0.768865735289707,"KLLN","ENSG00000227268","False",38,0.011143695,0.011082062,98.8856304985337,38,3.6635616,38,"KLLN",FALSE
"PTEN","OK","negbinomial.size",0.653694129086359,0.849795745491241,"PTEN","ENSG00000171862","False",1996,1.227566,0.8009095,41.466275659824,4186,8.33974,1996,"PTEN",FALSE
"RNLS","OK","negbinomial.size",0.636906535709031,0.838142902638809,"RNLS","ENSG00000184719","False",277,0.08504399,0.08162053,91.8768328445748,290,5.673323,277,"RNLS",FALSE
"LIPJ","OK","negbinomial.size",0.999999999526373,0.999999999652452,"LIPJ","ENSG00000204022","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"LIPJ",FALSE
"ANKRD22","OK","negbinomial.size",0.0582048468129306,0.181945821266316,"ANKRD22","ENSG00000152766","False",316,0.114956014,0.108814955,90.733137829912,392,5.9738097,316,"ANKRD22",FALSE
"STAMBPL1","OK","negbinomial.size",0.000360389969673991,0.00240311542950879,"STAMBPL1","ENSG00000138134","False",768,0.3046921,0.26596707,77.4780058651026,1039,6.946976,768,"STAMBPL1",FALSE
"ACTA2-AS1","OK","negbinomial.size",0.0331527957120062,0.117580457096323,"ACTA2-AS1","ENSG00000180139","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"ACTA2-AS1",FALSE
"ACTA2","OK","negbinomial.size",0.0526738530434364,0.168551378413315,"ACTA2","ENSG00000107796","False",123,0.038416423,0.037696883,96.3929618768328,131,4.882802,123,"ACTA2",FALSE
"FAS","OK","negbinomial.size",0.000173975613733435,0.00123727434209798,"FAS","ENSG00000026103","False",534,0.18387097,0.16878955,84.3401759530792,627,6.44254,534,"FAS",FALSE
"CH25H","OK","negbinomial.size",0.976154123783628,0.999999999652452,"CH25H","ENSG00000138135","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"CH25H",FALSE
"LIPA","OK","negbinomial.size",0.0153901678476809,0.0633502979219837,"LIPA","ENSG00000107798","False",963,0.38768327,0.32763565,71.7595307917888,1322,7.1876574,963,"LIPA",TRUE
"RP11-149I23.3","OK","negbinomial.size",0.569963014224082,0.790353399557622,"RP11-149I23.3","ENSG00000232110","False",107,0.03431085,0.03373536,96.8621700879765,117,4.7706847,107,"RP11-149I23.3",FALSE
"IFIT2","OK","negbinomial.size",0.00887067147798086,0.0403257211078921,"IFIT2","ENSG00000119922","False",490,0.62639296,0.48636466,85.6304985337243,2136,7.667158,490,"IFIT2",TRUE
"IFIT3","OK","negbinomial.size",0.705632377213954,0.879296034689464,"IFIT3","ENSG00000119917","False",914,0.813783,0.5954147,73.1964809384164,2775,7.9287663,914,"IFIT3",TRUE
"IFIT1","OK","negbinomial.size",0.567823038157479,0.788857676123419,"IFIT1","ENSG00000185745","False",562,0.44750732,0.36984298,83.5190615835777,1526,7.3310604,562,"IFIT1",TRUE
"IFIT5","OK","negbinomial.size",0.769460369011275,0.915663178285913,"IFIT5","ENSG00000152778","False",596,0.20205279,0.18403076,82.5219941348974,689,6.5366917,596,"IFIT5",FALSE
"SLC16A12","OK","negbinomial.size",0.742644973566248,0.900583244379898,"SLC16A12","ENSG00000152779","False",10,0.0029325513,0.0029282598,99.7067448680352,10,2.3978953,10,"SLC16A12",FALSE
"PANK1","OK","negbinomial.size",0.837509659222436,0.949768983679049,"PANK1","ENSG00000152782","False",260,0.08123167,0.07810082,92.375366568915,277,5.627621,260,"PANK1",FALSE
"RP11-80H5.2","OK","negbinomial.size",0.475203200733247,0.720405653898654,"RP11-80H5.2","ENSG00000232936","False",19,0.0055718473,0.005556382,99.4428152492669,19,2.9957323,19,"RP11-80H5.2",FALSE
"RP11-80H5.7","OK","negbinomial.size",0.139581205496861,0.338367185966091,"RP11-80H5.7","ENSG00000240996","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP11-80H5.7",FALSE
"KIF20B","OK","negbinomial.size",2.67836673476594e-198,2.4866200253452e-195,"KIF20B","ENSG00000138182","False",2079,1.758651,1.0147418,39.0322580645161,5997,8.699182,2079,"KIF20B",TRUE
"LINC00865","OK","negbinomial.size",0.104593710283488,0.277193010580024,"LINC00865","ENSG00000232229","False",71,0.021407625,0.0211817,97.9178885630498,73,4.304065,71,"LINC00865",FALSE
"HTR7","OK","negbinomial.size",0.250664469939096,0.497808494359794,"HTR7","ENSG00000148680","False",108,0.032844573,0.03231672,96.8328445747801,112,4.727388,108,"HTR7",FALSE
"RPP30","OK","negbinomial.size",7.10036358063669e-12,1.36945161600099e-10,"RPP30","ENSG00000148688","False",2185,1.358651,0.85808986,35.9237536656891,4633,8.441175,2185,"RPP30",FALSE
"ANKRD1","OK","negbinomial.size",0.000436298014948787,0.00285073159159596,"ANKRD1","ENSG00000148677","False",1101,1.8492669,1.0470617,67.7126099706745,6306,8.749415,1101,"ANKRD1",FALSE
"PCGF5","OK","negbinomial.size",0.787476375444227,0.924167143670899,"PCGF5","ENSG00000180628","False",1279,0.5841642,0.46005696,62.4926686217009,1992,7.5973964,1279,"PCGF5",FALSE
"HECTD2","OK","negbinomial.size",0.545322104244756,0.773325278011466,"HECTD2","ENSG00000165338","False",249,0.08064516,0.077558234,92.6979472140763,275,5.620401,249,"HECTD2",FALSE
"PPP1R3C","OK","negbinomial.size",0.0167188471841402,0.0676868394340054,"PPP1R3C","ENSG00000119938","False",57,0.0228739,0.022616215,98.3284457478006,78,4.3694477,57,"PPP1R3C",FALSE
"TNKS2-AS1","OK","negbinomial.size",0.201429618144338,0.434766981992825,"TNKS2-AS1","ENSG00000228701","False",89,0.027272727,0.026907453,97.3900293255132,93,4.543295,89,"TNKS2-AS1",FALSE
"TNKS2","OK","negbinomial.size",0.388200927541809,0.645641801073999,"TNKS2","ENSG00000107854","False",1349,0.5478006,0.43683496,60.4398826979472,1868,7.533159,1349,"TNKS2",FALSE
"FGFBP3","OK","negbinomial.size",0.833233043589855,0.947774638874036,"FGFBP3","ENSG00000174721","False",214,0.06803519,0.065820694,93.7243401759531,232,5.4510384,214,"FGFBP3",FALSE
"RP11-402D21.2","OK","negbinomial.size",0.0424245539484954,0.14242628441782,"RP11-402D21.2","ENSG00000272817","False",34,0.009970674,0.009921295,99.0029325513196,34,3.5553482,34,"RP11-402D21.2",FALSE
"BTAF1","OK","negbinomial.size",0.0337930884013625,0.119333304045268,"BTAF1","ENSG00000095564","False",481,0.16041055,0.14877386,85.8944281524927,547,6.3062754,481,"BTAF1",FALSE
"CPEB3","OK","negbinomial.size",0.161156129570876,0.374132069389081,"CPEB3","ENSG00000107864","False",110,0.033137828,0.032600608,96.7741935483871,113,4.7361984,110,"CPEB3",FALSE
"MARCH5","OK","negbinomial.size",1.31539236342236e-08,1.79203378717316e-07,"MARCH5","ENSG00000198060","False",1579,0.7296188,0.54790103,53.6950146627566,2488,7.8196363,1579,"MARCH5",FALSE
"IDE","OK","negbinomial.size",0.0213223002865523,0.0825764094336048,"IDE","ENSG00000119912","False",1448,0.64398825,0.49712515,57.5366568914956,2196,7.694848,1448,"IDE",FALSE
"KIF11","OK","negbinomial.size",5.41456950913695e-52,6.62231031282169e-50,"KIF11","ENSG00000138160","False",1045,0.44428152,0.36761197,69.3548387096774,1515,7.3238306,1045,"KIF11",TRUE
"HHEX","OK","negbinomial.size",0.135233635739106,0.331909037487532,"HHEX","ENSG00000152804","False",719,0.2612903,0.23213525,78.9149560117302,891,6.793466,719,"HHEX",FALSE
"EXOC6","OK","negbinomial.size",0.0317930780114415,0.113805401048667,"EXOC6","ENSG00000138190","False",714,0.2568915,0.2286416,79.0615835777126,876,6.776507,714,"EXOC6",FALSE
"RP11-348J12.2","OK","negbinomial.size",0.132397976718809,0.326874008761233,"RP11-348J12.2","ENSG00000226425","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"RP11-348J12.2",FALSE
"CYP26C1","OK","negbinomial.size",0.802161153460399,0.932347439789942,"CYP26C1","ENSG00000187553","False",13,0.0038123168,0.0038050683,99.6187683284458,13,2.6390574,13,"CYP26C1",FALSE
"CYP26A1","OK","negbinomial.size",0.661142180310136,0.853968368674337,"CYP26A1","ENSG00000095596","False",13,0.0038123168,0.0038050683,99.6187683284458,13,2.6390574,13,"CYP26A1",FALSE
"MYOF","OK","negbinomial.size",0.13848756021279,0.33669901408716,"MYOF","ENSG00000138119","False",3083,3.7624633,1.560765,9.58944281524927,12830,9.4596195,3083,"MYOF",FALSE
"CEP55","OK","negbinomial.size",3.29441986701274e-228,4.20553286148344e-225,"CEP55","ENSG00000138180","False",2216,2.8521993,1.3486443,35.0146627565982,9726,9.182661,2216,"CEP55",TRUE
"FFAR4","OK","negbinomial.size",0.473019332299659,0.718670747066042,"FFAR4","ENSG00000186188","False",4,0.0011730206,0.0011723331,99.8826979472141,4,1.609438,4,"FFAR4",FALSE
"RBP4","OK","negbinomial.size",0.647828093164099,0.845812375535459,"RBP4","ENSG00000138207","False",45,0.014956011,0.014845273,98.6803519061584,51,3.9512436,45,"RBP4",FALSE
"FRA10AC1","OK","negbinomial.size",5.55448639291824e-07,6.05068717735227e-06,"FRA10AC1","ENSG00000148690","False",2409,2.2231672,1.1703645,29.3548387096774,7581,8.933533,2409,"FRA10AC1",FALSE
"SLC35G1","OK","negbinomial.size",0.0433993412300385,0.144936485386451,"SLC35G1","ENSG00000176273","False",826,0.3014663,0.26349154,75.7771260997067,1028,6.9363427,826,"SLC35G1",FALSE
"PLCE1","OK","negbinomial.size",0.019039644430462,0.0749643902185773,"PLCE1","ENSG00000138193","False",1442,0.64076245,0.49516103,57.7126099706745,2185,7.689829,1442,"PLCE1",FALSE
"RP11-391J2.3","OK","negbinomial.size",0.46949766172466,0.7163422198878,"RP11-391J2.3","ENSG00000228553","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"RP11-391J2.3",FALSE
"RP11-76P2.4","OK","negbinomial.size",0.695709984600522,0.874315774350925,"RP11-76P2.4","ENSG00000273450","False",20,0.006158358,0.0061394726,99.4134897360704,21,3.0910425,20,"RP11-76P2.4",FALSE
"NOC3L","OK","negbinomial.size",1.08652265462434e-12,2.3068841185761e-11,"NOC3L","ENSG00000173145","False",1972,1.1958945,0.78658944,42.1700879765396,4078,8.313607,1972,"NOC3L",FALSE
"TBC1D12","OK","negbinomial.size",1.15817769115151e-05,0.00010330034647061,"TBC1D12","ENSG00000108239","False",813,0.3302053,0.28533328,76.158357771261,1126,7.0273147,813,"TBC1D12",FALSE
"HELLS","OK","negbinomial.size",3.2332311738747e-70,6.05860061710007e-68,"HELLS","ENSG00000119969","False",2668,3.0835776,1.4069735,21.7595307917889,10515,9.2606535,2668,"HELLS",TRUE
"CYP2C18","OK","negbinomial.size",0.167872539755427,0.385301339982537,"CYP2C18","ENSG00000108242","False",26,0.0076246336,0.007595713,99.2375366568915,26,3.295837,26,"CYP2C18",FALSE
"PDLIM1","OK","negbinomial.size",0.00465621906584818,0.023332501084384,"PDLIM1","ENSG00000107438","False",3001,3.7281525,1.5535345,11.9941348973607,12713,9.4504595,3001,"PDLIM1",TRUE
"SORBS1","OK","negbinomial.size",0.0848626722065836,0.238289810258382,"SORBS1","ENSG00000095637","False",50,0.014956011,0.014845273,98.533724340176,51,3.9512436,50,"SORBS1",FALSE
"ALDH18A1","OK","negbinomial.size",0.0333007388467702,0.1179822360703,"ALDH18A1","ENSG00000059573","False",981,0.36627567,0.31208855,71.2316715542522,1249,7.130899,981,"ALDH18A1",FALSE
"TCTN3","OK","negbinomial.size",0.00138112665599509,0.00802546570375523,"TCTN3","ENSG00000119977","False",1176,0.46099707,0.37911913,65.5131964809384,1572,7.3607397,1176,"TCTN3",FALSE
"ENTPD1","OK","negbinomial.size",0.990324442897285,0.999999999652452,"ENTPD1","ENSG00000138185","False",10,0.0029325513,0.0029282598,99.7067448680352,10,2.3978953,10,"ENTPD1",FALSE
"ENTPD1-AS1","OK","negbinomial.size",0.0715173046797171,0.210542079573829,"ENTPD1-AS1","ENSG00000226688","False",612,0.20791788,0.18889812,82.0527859237537,709,6.565265,612,"ENTPD1-AS1",FALSE
"C10orf131","OK","negbinomial.size",0.411247970323181,0.667865134280907,"C10orf131","ENSG00000173088","False",35,0.01085044,0.0107919965,98.9736070381232,37,3.637586,35,"C10orf131",FALSE
"CCNJ","OK","negbinomial.size",0.3718803999582,0.630711381644626,"CCNJ","ENSG00000107443","False",328,0.10615836,0.10089307,90.3812316715542,362,5.894403,328,"CCNJ",FALSE
"ZNF518A","OK","negbinomial.size",0.598535789028636,0.811382059528101,"ZNF518A","ENSG00000177853","False",1548,0.6680352,0.5116464,54.6041055718475,2278,7.731492,1548,"ZNF518A",FALSE
"BLNK","OK","negbinomial.size",0.757750770880437,0.909241508528493,"BLNK","ENSG00000095585","False",44,0.013489736,0.01339956,98.7096774193548,46,3.8501475,44,"BLNK",FALSE
"TLL2","OK","negbinomial.size",0.139756694182527,0.338609704346998,"TLL2","ENSG00000095587","False",16,0.0046920823,0.004681109,99.5307917888563,16,2.8332133,16,"TLL2",FALSE
"TM9SF3","OK","negbinomial.size",0.00399658331911763,0.0204132521974086,"TM9SF3","ENSG00000077147","False",2596,1.9865103,1.0941056,23.8709677419355,6774,8.820994,2596,"TM9SF3",FALSE
"PIK3AP1","OK","negbinomial.size",0.467989355840138,0.714934649710029,"PIK3AP1","ENSG00000155629","False",8,0.0026392962,0.0026358194,99.7653958944282,9,2.3025851,8,"PIK3AP1",FALSE
"LCOR","OK","negbinomial.size",0.0656796140846031,0.198242369983452,"LCOR","ENSG00000196233","False",1122,0.44105572,0.36537597,67.0967741935484,1504,7.3165483,1122,"LCOR",FALSE
"C10orf12","OK","negbinomial.size",0.191668760922346,0.420452630419816,"C10orf12","ENSG00000155640","False",554,0.18944281,0.17348497,83.7536656891496,646,6.4723463,554,"C10orf12",FALSE
"RP11-175O19.4","OK","negbinomial.size",0.714849240400439,0.8853796455751,"RP11-175O19.4","ENSG00000231025","False",240,0.073020525,0.07047759,92.9618768328446,249,5.521461,240,"RP11-175O19.4",FALSE
"SLIT1","OK","negbinomial.size",0.528347603645197,0.761305100843256,"SLIT1","ENSG00000187122","False",4,0.0011730206,0.0011723331,99.8826979472141,4,1.609438,4,"SLIT1",FALSE
"ARHGAP19-SLIT1","OK","negbinomial.size",0.403501709530003,0.661498572054454,"ARHGAP19-SLIT1","ENSG00000269891","False",6,0.0017595307,0.0017579846,99.8240469208211,6,1.9459101,6,"ARHGAP19-SLIT1",FALSE
"ARHGAP19","OK","negbinomial.size",2.11481910492775e-09,3.17845329051872e-08,"ARHGAP19","ENSG00000213390","False",317,0.10351906,0.098504215,90.7038123167155,353,5.869297,317,"ARHGAP19",FALSE
"FRAT1","OK","negbinomial.size",0.850424464660859,0.958179989634924,"FRAT1","ENSG00000165879","False",54,0.015835777,0.015711699,98.41642228739,54,4.0073333,54,"FRAT1",FALSE
"FRAT2","OK","negbinomial.size",0.0569356234108786,0.178964313352908,"FRAT2","ENSG00000181274","False",403,0.13841642,0.1296382,88.1818181818182,472,6.1590953,403,"FRAT2",FALSE
"RP11-452K12.4","OK","negbinomial.size",0.375657035314279,0.633821740230413,"RP11-452K12.4","ENSG00000225850","False",5,0.0014662757,0.0014652017,99.8533724340176,5,1.7917595,5,"RP11-452K12.4",FALSE
"RRP12","OK","negbinomial.size",1.58789340555507e-09,2.42035244839271e-08,"RRP12","ENSG00000052749","False",1017,0.5164223,0.4163538,70.1759530791789,1761,7.474205,1017,"RRP12",FALSE
"RP11-452K12.7","OK","negbinomial.size",0.560414224455379,0.784380218906401,"RP11-452K12.7","ENSG00000231970","False",6,0.0017595307,0.0017579846,99.8240469208211,6,1.9459101,6,"RP11-452K12.7",FALSE
"PGAM1","OK","negbinomial.size",7.61830669487709e-27,3.89009785607161e-25,"PGAM1","ENSG00000171314","False",3380,10.519941,2.4440796,0.879765395894427,35873,10.487768,3380,"PGAM1",TRUE
"EXOSC1","OK","negbinomial.size",2.67077526776892e-06,2.6675102613291e-05,"EXOSC1","ENSG00000171311","False",2050,1.1178886,0.7504196,39.8826979472141,3812,8.246172,2050,"EXOSC1",FALSE
"ZDHHC16","OK","negbinomial.size",0.574515310160635,0.793191510749694,"ZDHHC16","ENSG00000171307","False",2007,1.0636364,0.72446966,41.1436950146628,3627,8.196437,2007,"ZDHHC16",FALSE
"MMS19","OK","negbinomial.size",0.101021614206433,0.27021561945605,"MMS19","ENSG00000155229","False",1092,0.40967742,0.3433609,67.9765395894428,1397,7.242798,1092,"MMS19",FALSE
"UBTD1","OK","negbinomial.size",0.372816690315512,0.631627663721829,"UBTD1","ENSG00000165886","False",1548,0.80234605,0.58908916,54.6041055718475,2736,7.9146175,1548,"UBTD1",FALSE
"ANKRD2","OK","negbinomial.size",0.0182863239434659,0.0727357675842828,"ANKRD2","ENSG00000165887","False",19,0.0055718473,0.005556382,99.4428152492669,19,2.9957323,19,"ANKRD2",FALSE
"HOGA1","OK","negbinomial.size",0.211857339439161,0.448459545864325,"HOGA1","ENSG00000241935","False",6,0.0020527858,0.0020506817,99.8240469208211,7,2.0794415,6,"HOGA1",FALSE
"MORN4","OK","negbinomial.size",0.155506555639094,0.364789410695819,"MORN4","ENSG00000171160","False",780,0.3090909,0.26933295,77.1260997067449,1054,6.961296,780,"MORN4",FALSE
"PI4K2A","OK","negbinomial.size",0.414616084832337,0.670679990977755,"PI4K2A","ENSG00000155252","False",689,0.24369502,0.21808681,79.7947214076246,831,6.7238326,689,"PI4K2A",FALSE
"AVPI1","OK","negbinomial.size",0.0216418896203372,0.0835448110934391,"AVPI1","ENSG00000119986","False",1452,0.7175953,0.5409252,57.4193548387097,2447,7.8030267,1452,"AVPI1",FALSE
"MARVELD1","OK","negbinomial.size",0.00857271159874908,0.0391892646384176,"MARVELD1","ENSG00000155254","False",1191,0.48240468,0.39366555,65.0733137829912,1645,7.4061036,1191,"MARVELD1",FALSE
"ZFYVE27","OK","negbinomial.size",0.335773073099644,0.595740533187998,"ZFYVE27","ENSG00000155256","False",646,0.21612903,0.19567288,81.0557184750733,737,6.603944,646,"ZFYVE27",FALSE
"SFRP5","OK","negbinomial.size",0.0133144867854227,0.0564559669072575,"SFRP5","ENSG00000120057","False",5,0.0014662757,0.0014652017,99.8533724340176,5,1.7917595,5,"SFRP5",FALSE
"LINC00866","OK","negbinomial.size",0.170096232880831,0.388614715502345,"LINC00866","ENSG00000227356","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"LINC00866",FALSE
"GOLGA7B","OK","negbinomial.size",0.640536321596794,0.840328000987572,"GOLGA7B","ENSG00000155265","False",307,0.102052785,0.09717461,90.9970674486803,348,5.855072,307,"GOLGA7B",FALSE
"R3HCC1L","OK","negbinomial.size",0.185346165278562,0.41177477050665,"R3HCC1L","ENSG00000166024","False",820,0.3058651,0.26686573,75.9530791788856,1043,6.9508147,820,"R3HCC1L",FALSE
"LOXL4","OK","negbinomial.size",0.763116451443327,0.912591107550235,"LOXL4","ENSG00000138131","False",112,0.039296187,0.038543742,96.7155425219941,134,4.905275,112,"LOXL4",FALSE
"PYROXD2","OK","negbinomial.size",0.00545540171673526,0.0267530804476153,"PYROXD2","ENSG00000119943","False",124,0.038123168,0.037414435,96.3636363636364,130,4.8751974,124,"PYROXD2",FALSE
