"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"HYAL1","OK","negbinomial.size",0.0564935523711915,0.177795673689745,"HYAL1","ENSG00000114378","False",41,0.012316716,0.012241483,98.7976539589443,42,3.7612002,41,"HYAL1",FALSE
"HYAL2","OK","negbinomial.size",0.455967011732448,0.704485996317819,"HYAL2","ENSG00000068001","False",1473,0.65747803,0.5052972,56.8035190615836,2242,7.7155695,1473,"HYAL2",FALSE
"TUSC2","OK","negbinomial.size",0.0122984738822496,0.0528834376936732,"TUSC2","ENSG00000114383","False",2656,2.3832846,1.218847,22.1114369501466,8127,9.00307,2656,"TUSC2",FALSE
"RASSF1","OK","negbinomial.size",6.59427131744654e-06,6.12218143903844e-05,"RASSF1","ENSG00000068028","False",591,0.2085044,0.18938355,82.6686217008798,711,6.568078,591,"RASSF1",FALSE
"RASSF1-AS1","OK","negbinomial.size",0.266175946547305,0.517036967021275,"RASSF1-AS1","ENSG00000281358","False",83,0.025806451,0.025479086,97.5659824046921,88,4.4886365,83,"RASSF1-AS1",FALSE
"ZMYND10","OK","negbinomial.size",0.0631509421013958,0.192544856310048,"ZMYND10","ENSG00000004838","False",42,0.012609971,0.012531127,98.7683284457478,43,3.7841897,42,"ZMYND10",FALSE
"NPRL2","OK","negbinomial.size",0.408347610962791,0.665589334762988,"NPRL2","ENSG00000114388","False",701,0.25395894,0.2263057,79.4428152492669,866,6.765039,701,"NPRL2",FALSE
"CYB561D2","OK","negbinomial.size",0.346099983403862,0.606424651370325,"CYB561D2","ENSG00000114395","False",1010,0.40762463,0.34190363,70.3812316715543,1390,7.237778,1010,"CYB561D2",FALSE
"TMEM115","OK","negbinomial.size",0.35619651429598,0.616865677844276,"TMEM115","ENSG00000126062","False",1131,0.45747802,0.37670755,66.8328445747801,1560,7.3530817,1131,"TMEM115",FALSE
"CYB561D2-1","OK","negbinomial.size",0.259637897025303,0.508791779251894,"CYB561D2-1","ENSG00000271858","False",28,0.008211143,0.008177616,99.1788856304985,28,3.3672957,28,"CYB561D2-1",FALSE
