,scores,names,logfoldchanges,pvals,pvals_adj
652,-4.708369731903076,AC005355.2,-2.080343246459961,2.497058690522307e-06,7.807990332220406e-05
653,-4.708122730255127,CNIH4,-0.4340279996395111,2.500086010904355e-06,7.807990332220406e-05
654,-4.703676223754883,SERF2,-0.2545240819454193,2.555184011350289e-06,7.96788296669155e-05
655,4.700835227966309,C1orf43,0.27852413058280945,2.590993700893475e-06,8.067232673894699e-05
656,-4.695894718170166,PTPRF,-1.0384862422943115,2.6544217136454953e-06,8.252140563349961e-05
657,-4.6878662109375,VKORC1,-0.36791059374809265,2.7606822511453574e-06,8.569443006024913e-05
658,-4.684531211853027,CLIC1,-0.22818638384342194,2.8060108610667015e-06,8.696930476067888e-05
659,-4.683913707733154,FAM3C,-0.4290057122707367,2.8144830518095377e-06,8.709972171698456e-05
660,-4.6819376945495605,MPP5,-0.7812491059303284,2.8417593230657086e-06,8.781079300093357e-05
661,-4.681196689605713,AFG3L2,-0.4783703684806824,2.8520531720800422e-06,8.799574930473545e-05
662,4.680332183837891,USF2,0.5130383372306824,2.864107884199613e-06,8.823439447176032e-05
663,-4.679837703704834,TMOD3,-0.44135504961013794,2.8710182249816173e-06,8.831407717658063e-05
664,-4.664645671844482,DST,-0.4406164586544037,3.091493369955892e-06,9.495301064864525e-05
665,4.663534164428711,C4orf48,0.3057163655757904,3.108248100057521e-06,9.532427544095325e-05
666,4.663163661956787,ERICH6-AS1,1.1898971796035767,3.1138523408386607e-06,9.53529746051419e-05
667,-4.658593654632568,SLC25A53,-0.7128753662109375,3.1837731915414414e-06,9.734815484615859e-05
668,4.658099174499512,CHMP4C,0.6121748685836792,3.1914217781539055e-06,9.743615817457925e-05
669,-4.651553153991699,CALCOCO2,-0.480668842792511,3.294444241202782e-06,0.00010043137854711466
670,4.64451265335083,MTUS1,2.5495972633361816,3.4087995769782282e-06,0.00010376263988044755
671,4.643648147583008,TNFRSF12A,0.2931816279888153,3.4231028860003964e-06,0.00010404297090261622
672,-4.633643627166748,CD82,-1.6689372062683105,3.5928549547968274e-06,0.00010904021166675364
673,-4.63314962387085,PRKCSH,-0.6163781881332397,3.601443548077661e-06,0.000109138700993303
674,-4.628332614898682,CAPN1,-0.5949870347976685,3.6862204005390702e-06,0.00011154229878668224
675,-4.627591133117676,ZMYND11,-0.9376176595687866,3.699431619318755e-06,0.00011177646571684255
676,-4.6261091232299805,PSENEN,-0.3480663299560547,3.725990360279678e-06,0.00011238071635810679
677,4.625862121582031,SPRED2,0.7184762954711914,3.7304345503449894e-06,0.00011238071635810679
